id,loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
18880,35.0,13.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,25.0,True
53742,26.0,2.0,1.0,2.0,121.0,515.22,0.08,11.67,43.05,5620.38,0.17,312.24,21,1,1,0,8.0,18.0,64.0,50.0,3.0,False
84733,345.0,23.0,21.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,45.0,True
87978,43.0,7.0,1.0,4.0,158.0,835.09,0.05,20.86,43.32,18003.04,0.29,1000.17,28,3,8,1,18.0,28.0,105.0,65.0,13.0,True
51395,10.0,2.0,1.0,2.0,37.0,162.52,0.09,10.83,15.24,1791.33,0.05,99.52,7,0,1,0,11.0,9.0,23.0,14.0,3.0,False
50316,24.0,4.0,1.0,3.0,82.0,417.09,0.07,14.0,28.82,6110.57,0.14,339.76,18,0,4,0,14.0,16.0,50.0,32.0,7.0,True
47134,131.0,19.0,17.0,8.0,332.0,1910.62,0.03,28.83,73.82,58423.84,0.64,3245.77,95,12,13,2,22.0,48.0,198.0,143.0,37.0,False
84060,7.0,1.0,1.0,1.0,21.0,105.49,0.18,5.63,18.63,670.91,0.04,37.27,4,0,1,0,10.0,8.0,16.0,9.0,1.0,False
87196,47.0,12.0,5.0,4.0,139.0,687.48,0.04,25.77,28.02,20097.4,0.23,1115.52,42,0,3,0,16.0,22.0,78.0,65.0,18.0,False
2662,17.0,4.0,4.0,2.0,62.0,276.48,0.06,16.0,16.75,4448.4,0.09,247.13,14,0,1,0,14.0,7.0,48.0,14.0,7.0,False
3915,89.0,8.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,15.0,True
60387,77.0,6.0,1.0,1.0,187.0,1085.98,0.03,30.81,32.81,33337.26,0.36,1852.07,49,16,13,0,20.0,24.0,99.0,78.0,8.0,True
26212,39.0,12.0,10.0,9.0,132.0,687.32,0.06,17.83,40.0,14518.45,0.23,806.25,32,0,7,0,15.0,23.0,80.0,52.0,23.0,False
9293,40.0,2.0,1.0,2.0,129.0,683.21,0.09,11.72,57.78,7536.03,0.23,418.67,29,0,9,0,11.0,35.0,68.0,61.0,3.0,False
28827,23.0,2.0,1.0,2.0,42.0,181.52,0.11,8.86,21.46,1662.05,0.06,92.34,14,0,4,0,13.0,11.0,27.0,15.0,3.0,False
39192,24.0,4.0,1.0,3.0,116.0,574.69,0.04,28.57,20.5,17731.17,0.19,985.07,20,0,2,0,16.0,14.0,68.0,44.0,7.0,True
31134,11.0,2.0,1.0,1.0,22.0,83.76,0.21,4.71,18.24,420.54,0.03,23.36,7,0,2,0,6.0,7.0,13.0,11.0,3.0,False
1332,39.0,13.0,12.0,9.0,154.0,845.75,0.04,23.6,35.84,19959.59,0.28,1108.87,34,0,3,0,20.0,25.0,95.0,59.0,25.0,True
83124,40.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,False
13130,17.0,5.0,5.0,4.0,58.0,272.63,0.07,13.5,19.87,3154.67,0.09,175.26,15,0,0,0,12.0,12.0,31.0,27.0,9.0,False
51062,52.0,9.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,17.0,True
34752,6.0,2.0,1.0,2.0,26.0,108.42,0.14,7.07,16.14,867.34,0.04,48.19,4,0,0,0,9.0,7.0,15.0,11.0,3.0,False
37413,89.0,21.0,21.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,31.0,True
98306,14.0,3.0,1.0,3.0,46.0,229.25,0.12,8.18,28.34,1732.7,0.08,96.26,9,0,3,0,9.0,11.0,26.0,20.0,5.0,False
575,15.0,5.0,1.0,5.0,68.0,340.0,0.07,13.36,25.22,4228.07,0.11,234.89,10,0,1,0,12.0,14.0,41.0,27.0,9.0,False
47676,8.0,2.0,1.0,2.0,19.0,70.31,0.25,4.0,18.23,376.05,0.02,20.89,5,0,1,0,8.0,6.0,12.0,7.0,3.0,False
46087,17.0,5.0,3.0,1.0,30.0,114.22,0.04,27.43,4.78,2957.95,0.04,163.71,12,2,1,0,9.0,4.0,18.0,12.0,9.0,False
69112,19.0,2.0,1.0,2.0,43.0,194.49,0.11,8.89,19.26,1446.54,0.06,80.36,9,4,1,0,9.0,9.0,26.0,17.0,3.0,False
25201,37.0,5.0,4.0,3.0,123.0,650.1,0.05,20.13,33.38,13616.95,0.22,778.5,30,0,2,0,18.0,24.0,76.0,51.0,9.0,False
79013,9.0,5.0,3.0,1.0,24.0,96.0,0.14,7.2,12.8,555.43,0.03,30.86,5,0,2,0,9.0,5.0,13.0,8.0,9.0,False
7696,12.0,2.0,1.0,1.0,27.0,106.27,0.08,12.1,7.83,974.18,0.03,54.12,8,0,2,0,11.0,5.0,13.0,11.0,3.0,False
49497,14.0,2.0,1.0,2.0,28.0,118.94,0.14,7.0,17.56,800.12,0.04,44.45,10,0,2,0,9.0,9.0,14.0,14.0,3.0,False
42545,21.0,4.0,4.0,3.0,76.0,380.0,0.06,15.5,24.12,5651.52,0.13,313.97,17,0,2,0,15.0,15.0,48.0,31.0,7.0,False
49379,44.0,5.0,1.0,4.0,99.0,466.15,0.08,13.11,35.13,8220.18,0.16,456.68,34,0,8,0,14.0,21.0,59.0,40.0,9.0,False
58794,29.0,3.0,1.0,3.0,90.0,445.88,0.06,15.42,29.78,6769.06,0.15,376.06,20,0,5,0,17.0,19.0,57.0,33.0,5.0,False
91156,25.0,4.0,1.0,2.0,44.0,206.82,0.1,10.08,21.98,2229.72,0.07,123.87,19,0,2,0,11.0,11.0,23.0,25.0,7.0,False
61302,143.0,22.0,22.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,43.0,True
83612,44.0,5.0,1.0,3.0,119.0,627.99,0.05,21.5,28.05,12784.03,0.21,710.22,28,0,12,0,19.0,20.0,72.0,53.0,9.0,True
48497,105.0,11.0,1.0,6.0,294.0,1680.24,0.03,36.67,42.27,60427.77,0.56,3357.1,74,0,16,1,20.0,30.0,178.0,132.0,21.0,False
73028,26.0,6.0,5.0,2.0,85.0,371.56,0.04,25.78,15.07,10183.98,0.12,565.71,22,0,2,0,14.0,9.0,47.0,38.0,11.0,False
45561,82.0,16.0,13.0,9.0,180.0,870.13,0.05,21.86,36.67,17694.45,0.29,983.03,43,27,3,1,16.0,21.0,103.0,49.0,29.0,False
30637,75.0,8.0,3.0,4.0,266.0,1536.18,0.03,30.73,54.85,47209.52,0.53,2622.75,51,10,11,0,19.0,46.0,147.0,119.0,15.0,True
14447,4.0,1.0,1.0,1.0,7.0,19.65,0.4,2.5,9.83,39.3,0.01,2.18,2,0,0,0,4.0,3.0,4.0,3.0,1.0,False
38876,11.0,2.0,1.0,2.0,48.0,207.45,0.11,9.0,22.91,1899.44,0.07,105.56,8,0,1,0,10.0,10.0,30.0,18.0,3.0,False
46455,39.0,6.0,4.0,4.0,116.0,554.53,0.04,27.0,20.5,15287.87,0.18,849.33,28,8,5,0,19.0,14.0,65.0,41.0,11.0,False
96965,46.0,7.0,1.0,6.0,136.0,691.89,0.05,19.0,35.84,15475.59,0.23,859.76,39,0,5,0,19.0,23.0,80.0,52.0,13.0,True
31223,13.0,2.0,1.0,2.0,14.0,48.43,0.28,3.6,13.45,174.36,0.02,9.69,6,4,1,0,7.0,5.0,8.0,6.0,3.0,False
23121,76.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,11.0,True
3221,38.0,9.0,8.0,9.0,136.0,713.72,0.06,16.65,41.74,12946.24,0.24,719.24,32,0,4,0,18.0,30.0,77.0,59.0,17.0,False
3313,7.0,1.0,1.0,1.0,26.0,110.45,0.15,6.86,16.11,757.34,0.04,42.07,5,0,0,0,12.0,7.0,18.0,8.0,1.0,False
50609,64.0,10.0,1.0,2.0,212.0,1190.51,0.05,19.26,57.92,26287.7,0.4,1460.43,49,9,12,0,16.0,37.0,118.0,86.0,19.0,True
9962,20.0,3.0,1.0,2.0,53.0,252.01,0.1,9.63,28.1,2592.89,0.09,144.05,15,0,3,0,14.0,16.0,31.0,22.0,5.0,False
5548,20.0,2.0,1.0,2.0,52.0,220.89,0.11,9.45,21.91,2124.09,0.07,118.0,18,0,0,0,11.0,11.0,32.0,20.0,3.0,False
72141,11.0,4.0,3.0,2.0,29.0,125.34,0.12,8.25,14.5,1092.04,0.04,60.67,9,0,0,0,14.0,8.0,19.0,10.0,7.0,False
89137,10.0,4.0,3.0,1.0,23.0,94.01,0.15,6.42,14.22,656.91,0.03,36.5,8,0,0,0,11.0,6.0,16.0,7.0,7.0,False
22998,34.0,5.0,1.0,4.0,95.0,471.06,0.05,18.75,24.16,9690.41,0.16,538.36,25,3,3,0,15.0,14.0,60.0,35.0,9.0,False
69370,10.0,3.0,1.0,2.0,27.0,105.49,0.13,8.0,13.19,843.89,0.04,46.88,6,0,1,0,12.0,5.0,19.0,8.0,5.0,True
30229,148.0,30.0,20.0,13.0,455.0,2868.22,0.02,40.8,68.97,114869.15,0.96,6381.62,125,1,8,2,27.0,55.0,268.0,187.0,59.0,False
53696,71.0,9.0,4.0,2.0,76.0,357.23,0.05,20.45,17.46,7307.63,0.12,405.98,20,38,7,0,17.0,11.0,42.0,30.0,12.0,False
45385,44.0,5.0,1.0,3.0,123.0,681.21,0.06,18.0,36.34,13337.48,0.23,740.97,32,6,6,0,17.0,23.0,85.0,48.0,9.0,True
80717,24.0,3.0,1.0,1.0,49.0,211.77,0.1,10.5,19.79,2281.28,0.07,126.62,13,6,5,0,13.0,13.0,26.0,23.0,5.0,False
98233,54.0,7.0,4.0,7.0,210.0,1191.21,0.05,22.21,50.35,26807.82,0.4,1469.85,48,3,4,0,14.0,29.0,118.0,92.0,13.0,False
22768,9.0,1.0,1.0,1.0,22.0,83.76,0.24,4.2,18.56,332.42,0.03,18.47,6,0,1,0,7.0,5.0,15.0,7.0,1.0,False
50456,18.0,3.0,1.0,3.0,50.0,232.19,0.09,11.08,20.14,2719.48,0.08,151.08,15,0,1,0,14.0,12.0,32.0,19.0,5.0,False
9663,49.0,7.0,3.0,6.0,135.0,737.02,0.06,16.36,44.84,14210.21,0.25,789.46,37,3,6,0,17.0,25.0,83.0,50.0,13.0,True
25686,16.0,2.0,1.0,2.0,52.0,256.76,0.13,7.7,31.12,2118.3,0.08,117.68,12,0,2,0,11.0,15.0,29.0,23.0,3.0,False
80961,104.0,12.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,23.0,True
64571,70.0,8.0,1.0,5.0,277.0,1714.58,0.03,29.0,56.28,49731.22,0.57,2762.85,63,0,7,0,17.0,37.0,156.0,119.0,15.0,True
34461,16.0,2.0,1.0,2.0,49.0,224.66,0.15,6.46,31.21,1411.73,0.07,78.43,11,0,3,0,11.0,13.0,28.0,21.0,3.0,False
6423,10.0,3.0,1.0,2.0,35.0,158.32,0.11,9.75,17.29,1543.67,0.05,85.76,6,1,2,0,13.0,8.0,23.0,12.0,5.0,False
77803,24.0,6.0,1.0,1.0,76.0,357.58,0.03,31.57,10.54,11871.1,0.12,659.65,15,0,4,2,16.0,7.0,43.0,37.0,11.0,False
61459,15.0,2.0,1.0,2.0,27.0,108.0,0.22,4.5,24.0,486.0,0.04,27.0,9,0,3,0,8.0,8.0,15.0,12.0,3.0,False
11133,13.0,5.0,5.0,3.0,33.0,140.55,0.13,7.78,18.99,1396.91,0.05,77.13,10,0,1,0,10.0,9.0,19.0,14.0,9.0,False
98480,7.0,1.0,1.0,1.0,18.0,66.61,0.33,3.0,17.32,199.82,0.02,11.1,4,0,1,0,6.0,6.0,10.0,7.0,1.0,False
44290,9.0,1.0,1.0,1.0,16.0,55.35,0.33,3.0,18.98,161.44,0.02,8.97,4,0,3,0,6.0,6.0,9.0,7.0,1.0,False
1447,22.0,2.0,1.0,2.0,66.0,317.29,0.11,9.06,36.59,3079.54,0.11,171.09,16,0,1,0,11.0,17.0,37.0,29.0,3.0,False
25023,47.0,7.0,6.0,3.0,135.0,692.86,0.05,20.58,36.31,14122.17,0.23,784.57,42,0,3,0,20.0,25.0,86.0,49.0,13.0,False
3786,23.0,4.0,1.0,3.0,65.0,330.69,0.06,15.44,21.27,5658.32,0.11,314.35,17,0,2,0,17.0,16.0,36.0,29.0,7.0,True
34427,23.0,4.0,1.0,2.0,46.0,216.22,0.13,7.71,28.03,1667.98,0.07,92.67,16,0,1,0,12.0,14.0,28.0,18.0,7.0,False
65002,48.0,3.0,1.0,2.0,121.0,691.89,0.05,19.95,34.68,13803.3,0.23,766.85,34,1,12,1,14.0,25.0,66.0,57.0,5.0,True
1549,50.0,13.0,5.0,5.0,180.0,993.62,0.02,40.68,30.4,32596.51,0.33,1809.46,41,0,3,0,22.0,24.0,106.0,74.0,25.0,True
63216,23.0,5.0,3.0,2.0,48.0,228.23,0.09,11.38,19.61,2358.96,0.08,131.35,16,2,2,0,16.0,12.0,30.0,16.0,9.0,False
21956,8.0,2.0,1.0,1.0,19.0,72.34,0.18,5.6,13.22,429.12,0.02,23.84,4,0,2,0,8.0,5.0,14.0,7.0,3.0,False
77369,14.0,8.0,8.0,1.0,42.0,178.38,0.13,8.0,21.83,1484.62,0.06,82.48,9,0,2,0,10.0,10.0,26.0,16.0,15.0,False
69348,178.0,22.0,1.0,12.0,577.0,3816.69,0.01,84.03,62.06,381495.01,1.27,21104.06,139,7,31,0,31.0,55.0,355.0,238.0,43.0,True
30576,36.0,2.0,1.0,2.0,86.0,408.07,0.07,13.8,30.72,6474.72,0.14,359.71,24,0,8,0,14.0,15.0,49.0,33.0,3.0,True
66502,16.0,2.0,1.0,2.0,48.0,222.91,0.07,13.71,15.37,3007.76,0.07,166.65,10,0,3,0,14.0,7.0,32.0,16.0,3.0,False
31587,34.0,7.0,6.0,4.0,64.0,304.31,0.08,12.66,24.26,3872.1,0.1,215.12,28,0,4,0,17.0,16.0,42.0,22.0,13.0,False
72345,14.0,3.0,3.0,1.0,38.0,155.32,0.09,10.83,13.34,1652.84,0.05,91.82,10,0,1,0,10.0,6.0,25.0,13.0,5.0,False
58143,14.0,2.0,1.0,2.0,35.0,153.73,0.2,4.92,34.67,950.34,0.05,52.8,10,0,2,0,8.0,13.0,21.0,16.0,3.0,False
95046,16.0,3.0,1.0,2.0,55.0,272.48,0.13,8.0,30.83,2186.83,0.09,121.49,13,0,1,0,12.0,15.0,40.0,20.0,5.0,False
93932,32.0,10.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,19.0,False
9724,20.0,2.0,1.0,2.0,42.0,184.48,0.12,8.64,21.36,1689.22,0.06,93.85,14,0,4,0,11.0,11.0,28.0,19.0,3.0,False
4699,33.0,5.0,1.0,5.0,104.0,463.01,0.07,14.67,33.7,6675.33,0.15,370.85,25,0,6,0,12.0,18.0,55.0,39.0,9.0,False
21176,33.0,1.0,1.0,1.0,68.0,292.56,0.34,2.92,75.56,906.61,0.1,50.37,29,0,0,0,6.0,18.0,38.0,30.0,1.0,True
52059,51.0,7.0,6.0,5.0,156.0,812.67,0.03,28.5,27.46,20280.66,0.27,1126.7,38,4,5,0,22.0,22.0,88.0,54.0,13.0,False
10907,39.0,6.0,5.0,2.0,92.0,479.27,0.06,17.53,28.91,7945.79,0.16,441.43,36,6,4,0,17.0,19.0,57.0,37.0,11.0,True
70576,31.0,4.0,1.0,2.0,67.0,314.93,0.13,8.0,38.44,2555.86,0.1,141.99,24,1,3,0,8.0,16.0,37.0,28.0,7.0,False
65789,6.0,1.0,1.0,1.0,14.0,46.51,0.33,3.0,15.5,139.52,0.02,7.75,4,0,0,0,4.0,4.0,10.0,6.0,1.0,False
21397,12.0,1.0,1.0,1.0,33.0,122.11,0.16,6.43,19.0,785.02,0.04,43.61,10,0,1,0,6.0,7.0,18.0,15.0,1.0,False
92479,35.0,5.0,3.0,4.0,126.0,645.73,0.05,20.87,30.94,13476.01,0.22,748.67,29,1,4,0,17.0,24.0,69.0,57.0,9.0,True
31199,15.0,3.0,1.0,2.0,37.0,154.29,0.11,8.94,17.67,1367.74,0.05,75.99,11,0,2,0,11.0,8.0,22.0,13.0,5.0,True
18144,68.0,8.0,1.0,7.0,232.0,1295.04,0.04,24.94,51.74,27145.47,0.43,1500.87,47,1,13,0,16.0,29.0,143.0,89.0,15.0,False
59835,22.0,5.0,1.0,3.0,110.0,518.91,0.07,13.36,38.56,6717.49,0.17,373.19,15,0,4,1,9.0,14.0,68.0,42.0,9.0,True
90980,23.0,3.0,1.0,3.0,64.0,310.0,0.1,10.29,32.03,3418.0,0.1,189.89,18,0,3,0,14.0,17.0,39.0,25.0,5.0,False
15551,13.0,1.0,1.0,1.0,27.0,102.8,0.15,6.75,15.42,695.81,0.03,38.66,10,0,1,0,6.0,6.0,15.0,12.0,1.0,False
63141,22.0,3.0,1.0,3.0,95.0,446.54,0.06,17.1,26.74,8422.13,0.15,467.9,14,1,3,0,16.0,15.0,58.0,32.0,5.0,False
30962,12.0,2.0,1.0,2.0,27.0,116.69,0.13,7.88,18.56,969.43,0.04,53.86,7,0,4,0,9.0,8.0,15.0,14.0,3.0,False
50033,65.0,6.0,1.0,5.0,233.0,1360.87,0.04,23.91,56.82,30805.41,0.45,1711.41,52,3,8,0,18.0,39.0,125.0,98.0,11.0,False
38149,8.0,1.0,1.0,1.0,17.0,58.81,0.4,2.5,25.73,134.42,0.02,7.47,5,0,1,0,5.0,7.0,10.0,7.0,1.0,False
46237,21.0,2.0,1.0,2.0,38.0,137.61,0.12,8.57,15.5,1138.58,0.05,63.25,13,2,4,0,8.0,7.0,24.0,14.0,3.0,True
34177,67.0,8.0,1.0,5.0,176.0,1016.26,0.05,21.62,52.21,22058.39,0.34,1225.47,48,5,9,0,19.0,33.0,101.0,73.0,15.0,True
58917,18.0,4.0,4.0,1.0,56.0,266.27,0.06,15.6,16.32,4416.31,0.09,245.35,14,0,2,0,17.0,10.0,34.0,22.0,7.0,False
46736,12.0,2.0,1.0,2.0,20.0,80.0,0.16,6.43,11.39,466.67,0.03,25.93,9,0,1,0,7.0,5.0,13.0,9.0,3.0,False
833,29.0,2.0,1.0,2.0,80.0,390.71,0.14,7.22,55.96,3999.72,0.13,222.21,19,4,4,0,11.0,23.0,47.0,33.0,3.0,False
36072,25.0,2.0,1.0,2.0,79.0,401.91,0.1,10.5,38.28,4220.05,0.13,234.45,13,4,5,1,12.0,20.0,46.0,35.0,3.0,False
89479,11.0,2.0,1.0,1.0,16.0,62.51,0.25,4.0,15.63,250.04,0.02,13.89,2,0,0,0,8.0,7.0,9.0,7.0,3.0,False
9600,42.0,6.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,11.0,False
49251,70.0,15.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,29.0,False
84130,18.0,2.0,1.0,2.0,45.0,206.32,0.1,10.05,19.29,2387.67,0.07,127.64,12,0,4,0,13.0,11.0,29.0,17.0,3.0,False
81957,16.0,1.0,1.0,1.0,108.0,558.35,0.07,15.0,35.73,8220.18,0.19,456.68,14,0,0,0,10.0,11.0,66.0,42.0,1.0,False
100208,52.0,10.0,4.0,4.0,144.0,771.1,0.04,22.33,34.48,17360.57,0.26,964.48,42,0,7,0,20.0,27.0,84.0,62.0,19.0,False
39155,23.0,5.0,5.0,5.0,116.0,574.69,0.06,17.53,29.64,8308.53,0.19,461.58,16,0,3,0,17.0,19.0,63.0,41.0,9.0,False
45082,24.0,4.0,4.0,3.0,60.0,291.48,0.06,15.68,18.5,3269.77,0.1,181.65,19,0,3,0,15.0,11.0,34.0,22.0,7.0,False
23913,60.0,6.0,3.0,6.0,133.0,726.1,0.05,20.42,33.38,14236.57,0.24,790.92,35,6,5,4,21.0,24.0,74.0,49.0,11.0,True
20023,10.0,1.0,1.0,1.0,20.0,74.01,0.5,2.0,37.0,148.02,0.02,8.22,6,0,2,0,4.0,9.0,11.0,9.0,1.0,False
83240,23.0,2.0,1.0,2.0,50.0,222.97,0.08,12.6,17.7,2809.44,0.07,156.08,10,0,5,0,12.0,8.0,29.0,21.0,3.0,False
7128,9.0,2.0,1.0,2.0,18.0,62.27,0.28,3.6,17.3,224.17,0.02,12.45,4,0,1,0,6.0,5.0,12.0,6.0,3.0,False
43528,11.0,1.0,1.0,1.0,37.0,154.29,0.17,6.0,28.81,948.66,0.05,52.57,8,0,0,0,9.0,9.0,25.0,12.0,1.0,True
89628,250.0,75.0,25.0,28.0,898.0,6359.48,0.01,67.04,75.64,556035.36,2.12,30890.85,139,73,17,2,25.0,60.0,477.0,371.0,149.0,False
43495,78.0,10.0,1.0,6.0,290.0,1624.26,0.03,34.13,48.71,57398.73,0.54,3188.82,65,2,7,1,18.0,36.0,169.0,131.0,19.0,False
16233,9.0,2.0,1.0,2.0,16.0,62.51,0.25,4.0,15.63,250.04,0.02,13.89,6,0,1,0,8.0,7.0,9.0,7.0,3.0,False
75025,7.0,1.0,1.0,1.0,21.0,79.95,0.17,6.0,12.69,499.72,0.03,27.76,4,0,1,0,9.0,6.0,13.0,8.0,1.0,False
57485,24.0,3.0,1.0,3.0,57.0,242.13,0.09,11.5,22.57,2731.15,0.08,151.73,17,2,4,0,11.0,11.0,31.0,24.0,5.0,False
36663,17.0,3.0,1.0,2.0,46.0,198.81,0.09,10.56,18.47,2417.47,0.07,134.3,14,0,1,0,13.0,8.0,30.0,16.0,5.0,False
73244,31.0,3.0,1.0,3.0,104.0,541.31,0.1,9.81,55.4,4419.98,0.18,245.65,21,1,5,0,10.0,26.0,53.0,51.0,5.0,False
47942,9.0,3.0,3.0,2.0,29.0,120.93,0.18,5.5,21.02,583.79,0.04,32.43,6,0,1,0,9.0,9.0,15.0,11.0,5.0,False
11567,70.0,17.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,33.0,True
18346,32.0,5.0,1.0,4.0,98.0,498.57,0.05,21.94,23.43,11760.93,0.17,653.38,28,0,2,0,19.0,16.0,61.0,37.0,7.0,True
42352,12.0,2.0,1.0,1.0,15.0,55.35,0.19,5.25,9.88,272.43,0.02,15.14,7,0,3,0,7.0,4.0,9.0,6.0,3.0,False
87585,30.0,3.0,1.0,3.0,93.0,484.48,0.06,17.27,26.76,7000.72,0.16,388.93,24,0,3,1,17.0,15.0,59.0,33.0,5.0,True
15323,35.0,4.0,1.0,4.0,116.0,617.34,0.07,14.0,42.13,8308.53,0.21,461.58,25,5,6,0,18.0,30.0,66.0,44.0,7.0,True
41885,7.0,1.0,1.0,1.0,13.0,43.19,0.4,2.5,17.27,124.57,0.01,6.92,5,0,0,0,5.0,5.0,8.0,5.0,1.0,False
15272,28.0,3.0,1.0,3.0,96.0,466.76,0.09,10.91,49.19,5229.38,0.16,290.52,22,1,2,0,14.0,26.0,56.0,40.0,5.0,False
68054,158.0,15.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,29.0,True
38764,23.0,7.0,6.0,4.0,117.0,574.45,0.04,22.31,24.9,14583.21,0.19,810.18,19,0,1,0,17.0,16.0,79.0,42.0,13.0,False
29395,16.0,3.0,1.0,1.0,36.0,165.06,0.08,11.69,13.99,1855.14,0.06,103.06,13,0,1,0,14.0,8.0,23.0,15.0,5.0,False
70862,19.0,9.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,14.0,0.0,0.0,17.0,True
49805,56.0,14.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,27.0,False
73913,51.0,10.0,1.0,1.0,81.0,396.34,0.05,19.67,17.31,7277.8,0.13,404.32,26,10,9,0,12.0,9.0,50.0,31.0,19.0,True
30946,74.0,9.0,5.0,6.0,158.0,861.12,0.05,21.35,43.93,19162.57,0.29,1064.59,57,0,14,1,22.0,31.0,89.0,65.0,17.0,True
17062,27.0,5.0,3.0,3.0,47.0,212.61,0.09,11.7,18.17,2487.51,0.07,138.19,22,0,3,0,13.0,10.0,29.0,18.0,9.0,False
80657,195.0,25.0,23.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,49.0,False
85300,14.0,2.0,1.0,2.0,35.0,158.32,0.14,7.0,22.71,1172.59,0.05,65.14,12,0,0,0,11.0,11.0,21.0,14.0,3.0,False
48388,45.0,8.0,1.0,4.0,120.0,638.63,0.04,27.5,23.22,17562.36,0.21,975.69,33,2,7,0,22.0,18.0,70.0,45.0,15.0,False
42665,45.0,2.0,1.0,2.0,104.0,545.78,0.08,12.04,45.63,6527.58,0.18,362.64,26,12,9,0,14.0,23.0,58.0,46.0,3.0,False
28898,17.0,2.0,1.0,2.0,43.0,188.87,0.12,8.48,24.33,1482.98,0.06,82.39,13,0,2,0,11.0,12.0,29.0,17.0,3.0,False
49046,79.0,8.0,4.0,8.0,299.0,1789.5,0.03,31.5,59.13,51967.89,0.6,2887.11,61,0,13,0,23.0,42.0,166.0,114.0,15.0,True
36450,8.0,2.0,1.0,1.0,22.0,89.92,0.2,5.0,14.34,393.13,0.03,21.84,5,0,1,0,10.0,8.0,10.0,8.0,3.0,False
53683,13.0,2.0,1.0,2.0,28.0,114.45,0.24,4.2,26.28,582.35,0.04,32.35,8,1,2,0,7.0,10.0,15.0,13.0,3.0,True
98054,12.0,2.0,1.0,2.0,27.0,102.8,0.14,7.22,14.42,1043.09,0.04,57.95,7,0,2,0,10.0,8.0,14.0,13.0,3.0,True
69781,12.0,4.0,1.0,1.0,29.0,117.21,0.13,7.5,15.63,879.05,0.04,48.84,8,0,2,0,8.0,6.0,16.0,12.0,7.0,False
4878,18.0,3.0,1.0,3.0,50.0,229.25,0.17,5.73,30.96,1337.83,0.08,74.32,16,0,0,0,9.0,14.0,28.0,22.0,5.0,False
41982,22.0,9.0,9.0,6.0,194.0,797.08,0.03,39.53,20.37,33335.19,0.27,1851.96,19,0,1,0,23.0,17.0,110.0,45.0,17.0,False
42883,244.0,25.0,23.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,49.0,True
76252,57.0,10.0,1.0,2.0,115.0,594.69,0.05,19.53,32.18,11852.91,0.2,658.5,44,0,5,0,16.0,17.0,71.0,42.0,19.0,True
42854,25.0,6.0,6.0,1.0,52.0,252.17,0.05,20.0,12.01,4867.64,0.08,270.42,20,0,2,0,18.0,9.0,34.0,20.0,11.0,True
83410,139.0,19.0,10.0,11.0,479.0,2583.37,0.02,54.6,54.33,141051.98,0.86,7836.22,101,22,10,0,22.0,41.0,266.0,163.0,37.0,False
21115,18.0,2.0,1.0,2.0,46.0,210.91,0.14,7.13,28.52,1652.39,0.07,91.8,11,0,4,0,13.0,17.0,25.0,21.0,3.0,False
